mm_kmeans_df.df_size,spark_cluster.num_nodes,pymonitor.num_nodes,mm_kmeans.runtime,mm_kmeans.avg_mem,mm_kmeans.peak_mem,mm_kmeans.avg_cpu
1g,1,1,206.31738948822021,49.294174757281475,76.1,52.11116504854375
1g,1,1,187.70601797103882,48.101069518716564,75.4,52.15240641711232
1g,1,1,201.29271483421326,49.4437810945274,76.6,51.1293532338309
2g,2,2,214.27860164642334,47.17406542056073,75.5,49.64532710280377
2g,2,2,199.3488745689392,48.62788944723626,75.9,50.8615577889447
2g,2,2,207.77300763130188,47.59975903614454,76.8,50.2450602409639
4g,4,4,215.79231429100037,48.44081395348825,75.6,48.213023255813894
4g,4,4,211.78401589393616,48.0963356973995,77.0,48.822695035460875
4g,4,4,215.76827955245972,49.303139534884124,76.8,46.68616279069753
8g,8,8,411.1748616695404,55.35941409826067,77.1,32.02773878547461
8g,8,8,429.62609934806824,56.997458369850136,76.6,31.140490797546224
8g,8,8,421.07921957969666,55.76226133651508,76.6,33.3209427207639
16g,15,15,476.80456471443176,52.7145885987075,76.2,26.760432462791687
16g,15,15,491.4395697116852,52.696645302058684,76.4,26.292458748125316
16g,15,15,529.3681490421295,52.139982280721995,76.3,24.57680040501246
