nprocs,runtime_mean,runtime_std,mem_mean,mem_std,cpu_std,algo,impl
48.0,122.94135117530824,0.0,44.2,0.0,0.0,dbscan,udbscan
96.0,150.94135117530823,0.0,44.2,0.0,0.0,dbscan,udbscan
192.0,180.94135117530823,0.0,44.2,0.0,0.0,dbscan,udbscan
384.0,200.94135117530823,0.0,44.2,0.0,0.0,dbscan,udbscan
768.0,220.94135117530823,0.0,44.2,0.0,0.0,dbscan,udbscan
48.0,126.6295917105675,0.0,44.2,0.0,0.0,dbscan,mega
96.0,155.46959171056747,0.0,44.2,0.0,0.0,dbscan,mega
192.0,186.36959171056748,0.0,44.2,0.0,0.0,dbscan,mega
384.0,206.96959171056747,0.0,44.2,0.0,0.0,dbscan,mega
768.0,227.5695917105675,0.0,44.2,0.0,0.0,dbscan,mega
