nprocs,runtime_mean,runtime_std,mem_mean,mem_std,cpu_std,algo,impl
48.0,122.94135117530824,0.0,44.2,0.0,0.0,random_forest,spark
96.0,150.94135117530823,0.0,44.2,0.0,0.0,random_forest,spark
192.0,180.94135117530823,0.0,44.2,0.0,0.0,random_forest,spark
384.0,200.94135117530823,0.0,44.2,0.0,0.0,random_forest,spark
768.0,220.94135117530823,0.0,44.2,0.0,0.0,random_forest,spark
48.0,61.47067558765412,0.0,44.2,0.0,0.0,random_forest,mega
96.0,75.47067558765411,0.0,44.2,0.0,0.0,random_forest,mega
192.0,90.47067558765411,0.0,44.2,0.0,0.0,random_forest,mega
384.0,100.47067558765411,0.0,44.2,0.0,0.0,random_forest,mega
768.0,110.47067558765411,0.0,44.2,0.0,0.0,random_forest,mega
